StudentID,Name,Gender,Age,ClassSection,SubjectStream,PreviousGrade,AttendanceRate,StudyHoursPerWeek,ExtracurricularActivities,ParentalSupport,InternetAccess,FamilyIncomeLevel,SleepHours,CommuteTimeMinutes,DisciplinaryActions,AssignmentsCompleted,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
1,Student_1,Female,17,A,Commerce,79.96714153011233,96.19484349268802,12.948930350153711,3,High,Yes,High,9.281477860381152,25,0,10,59.03106075669028,13.646946341090526,92.44877803640226,True
2,Student_2,Male,17,B,Commerce,,92.39706946330216,16.132887975706893,1,Medium,Yes,High,7.152378037259561,16,0,19,62.16187435820934,14.401354133134692,90.91769970856376,True
3,Student_3,Female,16,B,Science,81.47688538100692,85.4770429593614,12.245480474000232,1,Low,No,Middle,5.933444844317274,34,0,10,66.14221570587122,10.538111554910335,85.54936446422508,False
4,Student_4,Female,17,D,Science,90.23029856408026,,15.15223082216576,0,High,Yes,Middle,6.242627736558658,35,0,19,84.36291695269115,14.074932681407116,78.96203283798182,False
5,Student_5,Female,15,B,Science,72.65846625276664,90.58578650890873,5.6383119982772865,2,High,Yes,Middle,7.984670780365702,44,0,11,68.25022678818083,5.9295102262857515,93.04046635828756,False
6,Student_6,Male,17,B,Commerce,72.6586304305082,88.147883083374,18.27976224423763,1,Low,Yes,High,4.062488626319589,8,0,15,57.74900238996453,16.346874681671242,88.58444531257054,False
7,Student_7,Female,17,D,Commerce,90.79212815507393,92.16154576022186,17.007232852173345,1,Medium,No,High,5.435976585555862,35,0,18,79.60521025725282,16.081834146732167,101.42348719355888,False
8,Student_8,Female,17,D,Arts,82.67434729152909,90.08137441345576,12.097468213590856,1,High,No,Low,7.31896911429601,31,0,15,60.723603684420056,12.05888960532002,91.35412617646232,False
9,Student_9,Male,17,A,Commerce,,93.39642172255468,20.95547401059443,2,High,No,Low,4.439995633937878,29,0,5,74.40014123947651,19.140081324324026,88.18995911705174,False
10,Student_10,Male,17,C,Arts,80.42560043585965,80.71811830751545,22.62542082575935,2,High,No,Middle,6.531223181297705,9,0,11,65.8910096385201,24.767772147471387,80.07947105978351,True
11,Student_11,Female,15,B,Science,70.36582307187538,95.5391525250746,7.354640813786155,0,Medium,Yes,Middle,6.282602446513726,10,1,6,64.7069502294127,4.770834199895452,95.16040808182584,True
12,Student_12,Male,15,D,Commerce,,86.5807968375392,12.423651328602714,1,High,No,High,8.316172783113501,9,0,10,72.24799875815525,12.09639755492647,84.73990312239835,True
13,Student_13,Female,17,A,Science,77.41962271566034,100.0,12.38514590127621,3,Low,Yes,Middle,6.624576500321201,55,0,17,62.820277342287795,14.293956850154462,100.21783250270866,True
14,Student_14,Male,16,C,Science,55.86719755342202,79.48649745528346,11.360581393346813,2,Medium,No,Middle,8.78003707390457,31,0,12,44.970396088730965,9.373881547510894,77.55630626868233,True
15,Student_15,Male,17,D,Science,57.75082167486967,98.887710425322,21.97684905159049,0,Low,Yes,High,7.118309534857092,12,0,17,59.143698154100505,21.81241027585892,99.8861698221516,True
16,Student_16,Female,17,C,Science,69.37712470759027,86.58328626770118,15.83704316736318,1,Low,Yes,High,9.6646766962139,13,1,9,70.58041939920368,16.036331191364052,80.85722312938871,True
17,Student_17,Female,17,C,Commerce,64.87168879665576,79.78865597108441,15.412910952136336,3,High,Yes,High,,19,1,14,49.579273889480994,14.202755274132556,83.22113138646016,True
18,Student_18,Female,16,B,Science,78.14247332595274,81.12891332756543,4.976825813559479,2,High,Yes,High,9.425690261901966,40,0,7,45.9962644362392,4.86060165206165,76.3940421991142,False
19,Student_19,Male,16,B,Arts,65.91975924478788,82.43722153444544,20.81250818125536,3,High,Yes,Low,6.383309265655916,45,0,15,58.921015139320154,21.65467487254529,81.64655487839583,True
20,Student_20,Female,16,D,Commerce,60.87696298664709,88.39332757121534,9.564449630879164,2,Low,No,High,9.210924551839614,11,0,12,62.45568489028496,8.863738583402329,86.19520720392381,True
21,Student_21,Female,15,C,Science,89.65648768921554,89.18268390428399,17.35959578159797,0,Medium,Yes,High,8.777852049827747,36,0,12,82.85666954551496,18.50609020279355,90.10044411742624,True
22,Student_22,Female,16,D,Commerce,72.74223699513465,80.41039996849136,18.66426162774915,3,High,Yes,Middle,2.7221382388259876,12,0,8,61.21654196010947,19.253358038322133,79.86067663628538,False
23,Student_23,Female,15,D,Arts,75.67528204687923,,25.163951575031906,1,High,Yes,Middle,7.718752315479759,51,0,12,65.63770737076563,24.289601273301756,85.56011525895106,True
24,Student_24,Female,15,C,Science,60.75251813786544,100.0,9.147077605285329,1,Low,Yes,Middle,8.496429644211847,55,0,9,69.70602936265215,10.838259155969151,103.33357723436283,False
25,Student_25,Male,16,D,Arts,69.55617275474818,98.82034536080567,0.0,2,Medium,No,Low,8.992889105006675,19,0,17,52.270868937595566,-1.1114056705246838,101.12619167380656,False
26,Student_26,Female,16,C,Science,76.10922589709867,88.49058935739225,18.10309726852217,1,Low,No,High,,41,0,15,65.69702417078189,19.38693722662999,88.59951138261692,True
27,Student_27,Female,16,C,Arts,63.490064225776976,85.3040278253456,27.803067089065124,3,High,Yes,High,7.885514345521345,23,1,9,64.13460916281807,26.718543541636024,86.68255112526158,False
28,Student_28,Male,15,C,Science,78.75698018345672,,24.433678117636624,0,Low,Yes,Low,7.292610517998592,43,0,7,72.97322258773224,23.95956807937402,91.84027317019286,True
29,Student_29,Female,17,C,Commerce,68.99361310081196,89.90814378184334,18.257956491647754,2,High,Yes,High,7.647113450449487,10,1,19,61.80709747754779,18.01399005698204,92.32085866589136,True
30,Student_30,Female,16,A,Science,72.08306250206724,76.81765947841275,14.050182886207716,3,Medium,Yes,Middle,8.498404729889527,23,0,11,62.12073224788696,14.558057522537258,75.9370456755511,True
31,Student_31,Female,16,C,Commerce,68.98293387770603,82.94098770061323,21.842735579823863,2,Low,No,Low,8.735064779089651,32,1,15,47.56818256781733,18.22256332439865,86.77458071278362,False
32,Student_32,Female,16,B,Science,93.52278184508938,71.65132740897928,11.158722801773187,0,High,No,High,6.016385567853293,21,0,18,66.2099190254231,11.84574612900797,72.82525837143761,True
33,Student_33,Female,15,B,Science,,88.19378498084224,19.858146616137315,2,High,Yes,Low,7.398128997769985,46,0,15,70.8100853253945,19.7044277814237,85.30546042704104,True
34,Student_34,Male,15,B,Arts,64.422890710441,90.17756751762192,20.03282095499976,1,High,Yes,Low,7.061702975818192,23,0,13,56.88636857885161,20.46143119691465,89.63540064707658,True
35,Student_35,Male,17,C,Arts,83.22544912103189,81.13450830160501,23.36125944499328,1,High,Yes,High,6.640971066595517,35,0,13,71.0087263803285,24.11499193042643,76.7177362111561,False
36,Student_36,Male,16,B,Arts,62.791563500289776,97.59189410632028,33.55796023346647,2,Low,Yes,Middle,6.784337183246439,15,1,5,70.2896132839518,34.14867349045336,90.73683379452407,False
37,Student_37,Female,15,A,Science,77.08863595004756,75.19387469598126,19.3544958030726,0,High,Yes,High,7.293980863084955,19,0,5,62.7468097388572,16.343454524684024,72.34675382233456,False
38,Student_38,Male,17,D,Science,55.40329876120224,73.28500095832143,13.946218245755007,0,Low,No,High,6.0970275962991005,14,0,14,53.58440782872626,12.354702347572974,73.65274416436286,False
39,Student_39,Female,16,C,Science,61.71813951101569,86.79561454847978,16.846554126848034,1,High,No,Middle,8.324555167796321,47,0,16,54.00930327107141,17.34577802833713,87.17214117192634,True
40,Student_40,Female,15,B,Commerce,76.96861235869123,93.37678642089725,6.3855445706652905,0,Low,Yes,High,8.903962432437774,27,1,16,66.43147770172354,6.6850888656033876,89.14205936552204,True
41,Student_41,Female,16,A,Commerce,82.3846657999541,98.47142153166295,12.83172121346565,2,Low,No,High,5.769135166621156,7,1,15,77.26650870449902,11.64739068519117,91.33513574988685,False
42,Student_42,Male,16,D,Science,76.7136828118997,81.32892589704848,14.544305371321377,3,High,No,High,8.977494831908682,7,0,19,66.68470449562349,15.650764171411195,85.74121332001063,True
43,Student_43,Male,15,A,Arts,73.8435171761176,93.62944666745037,13.855469612392444,2,High,No,Low,5.771959863660789,22,1,9,63.96923325860682,13.470831858699576,93.91532602493108,False
44,Student_44,Male,15,B,Arts,71.98896304410711,84.69193224399434,17.91412923220233,1,High,Yes,Low,8.346680367534677,29,1,5,66.44229366958248,19.242718763025113,89.3590681777431,True
